artifact_id,task,condition,model,generation_index,order
full_v1_T5_C0_openai_gpt56sol_g03,T5,C0,openai_gpt56sol,3,45
full_v1_T4_C0_anthropic_opus5_g03,T4,C0,anthropic_opus5,3,46
full_v1_T2_C1_anthropic_opus5_g03,T2,C1,anthropic_opus5,3,47
full_v1_T2_C1_openai_gpt56sol_g03,T2,C1,openai_gpt56sol,3,48
full_v1_T4_C1_openai_gpt56sol_g04,T4,C1,openai_gpt56sol,4,49
full_v1_T5_C0_openai_gpt56sol_g04,T5,C0,openai_gpt56sol,4,50
full_v1_T5_C1_anthropic_opus5_g04,T5,C1,anthropic_opus5,4,51
full_v1_T1_C0_openai_gpt56sol_g04,T1,C0,openai_gpt56sol,4,52
full_v1_T1_C0_anthropic_opus5_g04,T1,C0,anthropic_opus5,4,53
full_v1_T2_C0_anthropic_opus5_g04,T2,C0,anthropic_opus5,4,54
full_v1_T2_C0_openai_gpt56sol_g04,T2,C0,openai_gpt56sol,4,55
full_v1_T4_C1_anthropic_opus5_g04,T4,C1,anthropic_opus5,4,56
full_v1_T4_C0_anthropic_opus5_g04,T4,C0,anthropic_opus5,4,57
full_v1_T2_C1_anthropic_opus5_g04,T2,C1,anthropic_opus5,4,58
full_v1_T5_C1_openai_gpt56sol_g04,T5,C1,openai_gpt56sol,4,59
full_v1_T1_C1_anthropic_opus5_g04,T1,C1,anthropic_opus5,4,60
full_v1_T2_C1_openai_gpt56sol_g04,T2,C1,openai_gpt56sol,4,61
full_v1_T4_C0_openai_gpt56sol_g04,T4,C0,openai_gpt56sol,4,62
full_v1_T1_C1_openai_gpt56sol_g04,T1,C1,openai_gpt56sol,4,63
full_v1_T5_C0_anthropic_opus5_g04,T5,C0,anthropic_opus5,4,64
full_v1_T4_C1_openai_gpt56sol_g05,T4,C1,openai_gpt56sol,5,65
full_v1_T4_C1_anthropic_opus5_g05,T4,C1,anthropic_opus5,5,66
full_v1_T1_C0_openai_gpt56sol_g05,T1,C0,openai_gpt56sol,5,67
full_v1_T2_C0_openai_gpt56sol_g05,T2,C0,openai_gpt56sol,5,68
full_v1_T4_C0_anthropic_opus5_g05,T4,C0,anthropic_opus5,5,69
full_v1_T2_C0_anthropic_opus5_g05,T2,C0,anthropic_opus5,5,70
full_v1_T1_C0_anthropic_opus5_g05,T1,C0,anthropic_opus5,5,71
full_v1_T5_C0_anthropic_opus5_g05,T5,C0,anthropic_opus5,5,72
full_v1_T4_C0_openai_gpt56sol_g05,T4,C0,openai_gpt56sol,5,73
full_v1_T5_C1_anthropic_opus5_g05,T5,C1,anthropic_opus5,5,74
full_v1_T1_C1_openai_gpt56sol_g05,T1,C1,openai_gpt56sol,5,75
full_v1_T2_C1_openai_gpt56sol_g05,T2,C1,openai_gpt56sol,5,76
full_v1_T1_C1_anthropic_opus5_g05,T1,C1,anthropic_opus5,5,77
full_v1_T5_C1_openai_gpt56sol_g05,T5,C1,openai_gpt56sol,5,78
full_v1_T5_C0_openai_gpt56sol_g05,T5,C0,openai_gpt56sol,5,79
full_v1_T2_C1_anthropic_opus5_g05,T2,C1,anthropic_opus5,5,80
full_v1_T5_C0_openai_gpt56sol_g06,T5,C0,openai_gpt56sol,6,81
full_v1_T2_C1_anthropic_opus5_g06,T2,C1,anthropic_opus5,6,82
full_v1_T5_C1_openai_gpt56sol_g06,T5,C1,openai_gpt56sol,6,83
full_v1_T2_C0_anthropic_opus5_g06,T2,C0,anthropic_opus5,6,84
full_v1_T4_C1_anthropic_opus5_g06,T4,C1,anthropic_opus5,6,85
full_v1_T4_C1_openai_gpt56sol_g06,T4,C1,openai_gpt56sol,6,86
full_v1_T5_C1_anthropic_opus5_g06,T5,C1,anthropic_opus5,6,87
full_v1_T1_C1_openai_gpt56sol_g06,T1,C1,openai_gpt56sol,6,88
full_v1_T2_C1_openai_gpt56sol_g06,T2,C1,openai_gpt56sol,6,89
full_v1_T4_C0_anthropic_opus5_g06,T4,C0,anthropic_opus5,6,90
full_v1_T1_C1_anthropic_opus5_g06,T1,C1,anthropic_opus5,6,91
full_v1_T5_C0_anthropic_opus5_g06,T5,C0,anthropic_opus5,6,92
full_v1_T1_C0_openai_gpt56sol_g06,T1,C0,openai_gpt56sol,6,93
full_v1_T1_C0_anthropic_opus5_g06,T1,C0,anthropic_opus5,6,94
full_v1_T2_C0_openai_gpt56sol_g06,T2,C0,openai_gpt56sol,6,95
full_v1_T4_C0_openai_gpt56sol_g06,T4,C0,openai_gpt56sol,6,96
full_v1_T1_C1_anthropic_opus5_g07,T1,C1,anthropic_opus5,7,97
full_v1_T5_C1_openai_gpt56sol_g07,T5,C1,openai_gpt56sol,7,98
full_v1_T2_C0_openai_gpt56sol_g07,T2,C0,openai_gpt56sol,7,99
full_v1_T2_C0_anthropic_opus5_g07,T2,C0,anthropic_opus5,7,100
full_v1_T5_C0_anthropic_opus5_g07,T5,C0,anthropic_opus5,7,101
full_v1_T2_C1_openai_gpt56sol_g07,T2,C1,openai_gpt56sol,7,102
full_v1_T5_C0_openai_gpt56sol_g07,T5,C0,openai_gpt56sol,7,103
full_v1_T1_C1_openai_gpt56sol_g07,T1,C1,openai_gpt56sol,7,104
full_v1_T4_C1_openai_gpt56sol_g07,T4,C1,openai_gpt56sol,7,105
full_v1_T5_C1_anthropic_opus5_g07,T5,C1,anthropic_opus5,7,106
full_v1_T4_C1_anthropic_opus5_g07,T4,C1,anthropic_opus5,7,107
full_v1_T4_C0_openai_gpt56sol_g07,T4,C0,openai_gpt56sol,7,108
full_v1_T1_C0_openai_gpt56sol_g07,T1,C0,openai_gpt56sol,7,109
full_v1_T2_C1_anthropic_opus5_g07,T2,C1,anthropic_opus5,7,110
full_v1_T1_C0_anthropic_opus5_g07,T1,C0,anthropic_opus5,7,111
full_v1_T4_C0_anthropic_opus5_g07,T4,C0,anthropic_opus5,7,112
full_v1_T4_C0_openai_gpt56sol_g08,T4,C0,openai_gpt56sol,8,113
full_v1_T5_C1_openai_gpt56sol_g08,T5,C1,openai_gpt56sol,8,114
full_v1_T1_C0_openai_gpt56sol_g08,T1,C0,openai_gpt56sol,8,115
full_v1_T4_C1_openai_gpt56sol_g08,T4,C1,openai_gpt56sol,8,116
full_v1_T1_C0_anthropic_opus5_g08,T1,C0,anthropic_opus5,8,117
full_v1_T5_C1_anthropic_opus5_g08,T5,C1,anthropic_opus5,8,118
full_v1_T2_C0_openai_gpt56sol_g08,T2,C0,openai_gpt56sol,8,119
full_v1_T4_C0_anthropic_opus5_g08,T4,C0,anthropic_opus5,8,120
full_v1_T5_C0_openai_gpt56sol_g08,T5,C0,openai_gpt56sol,8,121
full_v1_T1_C1_openai_gpt56sol_g08,T1,C1,openai_gpt56sol,8,122
full_v1_T5_C0_anthropic_opus5_g08,T5,C0,anthropic_opus5,8,123
full_v1_T2_C1_anthropic_opus5_g08,T2,C1,anthropic_opus5,8,124
full_v1_T4_C1_anthropic_opus5_g08,T4,C1,anthropic_opus5,8,125
full_v1_T2_C1_openai_gpt56sol_g08,T2,C1,openai_gpt56sol,8,126
full_v1_T1_C1_anthropic_opus5_g08,T1,C1,anthropic_opus5,8,127
full_v1_T2_C0_anthropic_opus5_g08,T2,C0,anthropic_opus5,8,128
full_v1_T2_C0_openai_gpt56sol_g09,T2,C0,openai_gpt56sol,9,129
full_v1_T5_C1_anthropic_opus5_g09,T5,C1,anthropic_opus5,9,130
full_v1_T1_C1_anthropic_opus5_g09,T1,C1,anthropic_opus5,9,131
full_v1_T1_C0_openai_gpt56sol_g09,T1,C0,openai_gpt56sol,9,132
full_v1_T2_C1_anthropic_opus5_g09,T2,C1,anthropic_opus5,9,133
full_v1_T1_C1_openai_gpt56sol_g09,T1,C1,openai_gpt56sol,9,134
full_v1_T4_C0_openai_gpt56sol_g09,T4,C0,openai_gpt56sol,9,135
full_v1_T5_C1_openai_gpt56sol_g09,T5,C1,openai_gpt56sol,9,136
full_v1_T1_C0_anthropic_opus5_g09,T1,C0,anthropic_opus5,9,137
full_v1_T2_C0_anthropic_opus5_g09,T2,C0,anthropic_opus5,9,138
full_v1_T5_C0_anthropic_opus5_g09,T5,C0,anthropic_opus5,9,139
full_v1_T2_C1_openai_gpt56sol_g09,T2,C1,openai_gpt56sol,9,140
full_v1_T4_C0_anthropic_opus5_g09,T4,C0,anthropic_opus5,9,141
full_v1_T5_C0_openai_gpt56sol_g09,T5,C0,openai_gpt56sol,9,142
full_v1_T4_C1_openai_gpt56sol_g09,T4,C1,openai_gpt56sol,9,143
full_v1_T4_C1_anthropic_opus5_g09,T4,C1,anthropic_opus5,9,144
full_v1_T2_C0_anthropic_opus5_g10,T2,C0,anthropic_opus5,10,145
full_v1_T4_C1_anthropic_opus5_g10,T4,C1,anthropic_opus5,10,146
full_v1_T4_C0_openai_gpt56sol_g10,T4,C0,openai_gpt56sol,10,147
full_v1_T5_C0_anthropic_opus5_g10,T5,C0,anthropic_opus5,10,148
full_v1_T4_C1_openai_gpt56sol_g10,T4,C1,openai_gpt56sol,10,149
full_v1_T4_C0_anthropic_opus5_g10,T4,C0,anthropic_opus5,10,150
full_v1_T5_C0_openai_gpt56sol_g10,T5,C0,openai_gpt56sol,10,151
full_v1_T1_C1_anthropic_opus5_g10,T1,C1,anthropic_opus5,10,152
full_v1_T2_C1_openai_gpt56sol_g10,T2,C1,openai_gpt56sol,10,153
full_v1_T1_C0_anthropic_opus5_g10,T1,C0,anthropic_opus5,10,154
full_v1_T5_C1_anthropic_opus5_g10,T5,C1,anthropic_opus5,10,155
full_v1_T2_C0_openai_gpt56sol_g10,T2,C0,openai_gpt56sol,10,156
full_v1_T2_C1_anthropic_opus5_g10,T2,C1,anthropic_opus5,10,157
full_v1_T1_C1_openai_gpt56sol_g10,T1,C1,openai_gpt56sol,10,158
full_v1_T1_C0_openai_gpt56sol_g10,T1,C0,openai_gpt56sol,10,159
full_v1_T5_C1_openai_gpt56sol_g10,T5,C1,openai_gpt56sol,10,160
full_v1_T1_C0_anthropic_opus5_g11,T1,C0,anthropic_opus5,11,161
full_v1_T2_C1_anthropic_opus5_g11,T2,C1,anthropic_opus5,11,162
full_v1_T1_C1_anthropic_opus5_g11,T1,C1,anthropic_opus5,11,163
full_v1_T5_C0_openai_gpt56sol_g11,T5,C0,openai_gpt56sol,11,164
full_v1_T2_C0_anthropic_opus5_g11,T2,C0,anthropic_opus5,11,165
full_v1_T2_C1_openai_gpt56sol_g11,T2,C1,openai_gpt56sol,11,166
full_v1_T1_C0_openai_gpt56sol_g11,T1,C0,openai_gpt56sol,11,167
full_v1_T4_C0_anthropic_opus5_g11,T4,C0,anthropic_opus5,11,168
full_v1_T5_C1_anthropic_opus5_g11,T5,C1,anthropic_opus5,11,169
full_v1_T1_C1_openai_gpt56sol_g11,T1,C1,openai_gpt56sol,11,170
full_v1_T4_C0_openai_gpt56sol_g11,T4,C0,openai_gpt56sol,11,171
full_v1_T5_C0_anthropic_opus5_g11,T5,C0,anthropic_opus5,11,172
full_v1_T4_C1_openai_gpt56sol_g11,T4,C1,openai_gpt56sol,11,173
full_v1_T5_C1_openai_gpt56sol_g11,T5,C1,openai_gpt56sol,11,174
full_v1_T2_C0_openai_gpt56sol_g11,T2,C0,openai_gpt56sol,11,175
full_v1_T4_C1_anthropic_opus5_g11,T4,C1,anthropic_opus5,11,176
full_v1_T2_C0_openai_gpt56sol_g12,T2,C0,openai_gpt56sol,12,177
full_v1_T2_C1_openai_gpt56sol_g12,T2,C1,openai_gpt56sol,12,178
full_v1_T4_C1_anthropic_opus5_g12,T4,C1,anthropic_opus5,12,179
full_v1_T4_C0_anthropic_opus5_g12,T4,C0,anthropic_opus5,12,180
full_v1_T4_C1_openai_gpt56sol_g12,T4,C1,openai_gpt56sol,12,181
full_v1_T2_C1_anthropic_opus5_g12,T2,C1,anthropic_opus5,12,182
full_v1_T1_C1_anthropic_opus5_g12,T1,C1,anthropic_opus5,12,183
full_v1_T2_C0_anthropic_opus5_g12,T2,C0,anthropic_opus5,12,184
full_v1_T1_C1_openai_gpt56sol_g12,T1,C1,openai_gpt56sol,12,185
full_v1_T5_C0_openai_gpt56sol_g12,T5,C0,openai_gpt56sol,12,186
full_v1_T1_C0_openai_gpt56sol_g12,T1,C0,openai_gpt56sol,12,187
full_v1_T4_C0_openai_gpt56sol_g12,T4,C0,openai_gpt56sol,12,188
full_v1_T5_C0_anthropic_opus5_g12,T5,C0,anthropic_opus5,12,189
full_v1_T5_C1_anthropic_opus5_g12,T5,C1,anthropic_opus5,12,190
full_v1_T1_C0_anthropic_opus5_g12,T1,C0,anthropic_opus5,12,191
full_v1_T5_C1_openai_gpt56sol_g12,T5,C1,openai_gpt56sol,12,192
full_v1_T4_C1_anthropic_opus5_g13,T4,C1,anthropic_opus5,13,193
full_v1_T4_C0_openai_gpt56sol_g13,T4,C0,openai_gpt56sol,13,194
full_v1_T5_C1_openai_gpt56sol_g13,T5,C1,openai_gpt56sol,13,195
full_v1_T4_C0_anthropic_opus5_g13,T4,C0,anthropic_opus5,13,196
full_v1_T1_C1_anthropic_opus5_g13,T1,C1,anthropic_opus5,13,197
full_v1_T4_C1_openai_gpt56sol_g13,T4,C1,openai_gpt56sol,13,198
full_v1_T5_C0_openai_gpt56sol_g13,T5,C0,openai_gpt56sol,13,199
full_v1_T1_C0_anthropic_opus5_g13,T1,C0,anthropic_opus5,13,200
full_v1_T2_C0_anthropic_opus5_g13,T2,C0,anthropic_opus5,13,201
full_v1_T1_C1_openai_gpt56sol_g13,T1,C1,openai_gpt56sol,13,202
full_v1_T2_C1_anthropic_opus5_g13,T2,C1,anthropic_opus5,13,203
full_v1_T1_C0_openai_gpt56sol_g13,T1,C0,openai_gpt56sol,13,204
full_v1_T5_C0_anthropic_opus5_g13,T5,C0,anthropic_opus5,13,205
full_v1_T5_C1_anthropic_opus5_g13,T5,C1,anthropic_opus5,13,206
full_v1_T2_C1_openai_gpt56sol_g13,T2,C1,openai_gpt56sol,13,207
full_v1_T2_C0_openai_gpt56sol_g13,T2,C0,openai_gpt56sol,13,208
full_v1_T4_C1_openai_gpt56sol_g14,T4,C1,openai_gpt56sol,14,209
full_v1_T4_C1_anthropic_opus5_g14,T4,C1,anthropic_opus5,14,210
full_v1_T1_C1_anthropic_opus5_g14,T1,C1,anthropic_opus5,14,211
full_v1_T1_C1_openai_gpt56sol_g14,T1,C1,openai_gpt56sol,14,212
full_v1_T5_C1_anthropic_opus5_g14,T5,C1,anthropic_opus5,14,213
full_v1_T2_C1_anthropic_opus5_g14,T2,C1,anthropic_opus5,14,214
full_v1_T2_C0_anthropic_opus5_g14,T2,C0,anthropic_opus5,14,215
full_v1_T5_C0_openai_gpt56sol_g14,T5,C0,openai_gpt56sol,14,216
full_v1_T2_C0_openai_gpt56sol_g14,T2,C0,openai_gpt56sol,14,217
full_v1_T1_C0_anthropic_opus5_g14,T1,C0,anthropic_opus5,14,218
full_v1_T1_C0_openai_gpt56sol_g14,T1,C0,openai_gpt56sol,14,219
full_v1_T5_C0_anthropic_opus5_g14,T5,C0,anthropic_opus5,14,220
full_v1_T2_C1_openai_gpt56sol_g14,T2,C1,openai_gpt56sol,14,221
full_v1_T4_C0_openai_gpt56sol_g14,T4,C0,openai_gpt56sol,14,222
full_v1_T4_C0_anthropic_opus5_g14,T4,C0,anthropic_opus5,14,223
full_v1_T5_C1_openai_gpt56sol_g14,T5,C1,openai_gpt56sol,14,224
full_v1_T1_C1_openai_gpt56sol_g15,T1,C1,openai_gpt56sol,15,225
full_v1_T1_C1_anthropic_opus5_g15,T1,C1,anthropic_opus5,15,226
full_v1_T4_C0_openai_gpt56sol_g15,T4,C0,openai_gpt56sol,15,227
full_v1_T4_C1_anthropic_opus5_g15,T4,C1,anthropic_opus5,15,228
full_v1_T4_C1_openai_gpt56sol_g15,T4,C1,openai_gpt56sol,15,229
full_v1_T2_C1_openai_gpt56sol_g15,T2,C1,openai_gpt56sol,15,230
full_v1_T2_C0_openai_gpt56sol_g15,T2,C0,openai_gpt56sol,15,231
full_v1_T5_C1_openai_gpt56sol_g15,T5,C1,openai_gpt56sol,15,232
full_v1_T5_C1_anthropic_opus5_g15,T5,C1,anthropic_opus5,15,233
full_v1_T2_C1_anthropic_opus5_g15,T2,C1,anthropic_opus5,15,234
full_v1_T5_C0_anthropic_opus5_g15,T5,C0,anthropic_opus5,15,235
full_v1_T4_C0_anthropic_opus5_g15,T4,C0,anthropic_opus5,15,236
full_v1_T1_C0_openai_gpt56sol_g15,T1,C0,openai_gpt56sol,15,237
full_v1_T1_C0_anthropic_opus5_g15,T1,C0,anthropic_opus5,15,238
full_v1_T2_C0_anthropic_opus5_g15,T2,C0,anthropic_opus5,15,239
full_v1_T5_C0_openai_gpt56sol_g15,T5,C0,openai_gpt56sol,15,240
full_v1_T5_C0_openai_gpt56sol_g16,T5,C0,openai_gpt56sol,16,241
full_v1_T2_C1_anthropic_opus5_g16,T2,C1,anthropic_opus5,16,242
full_v1_T2_C0_openai_gpt56sol_g16,T2,C0,openai_gpt56sol,16,243
full_v1_T4_C0_openai_gpt56sol_g16,T4,C0,openai_gpt56sol,16,244
full_v1_T1_C1_openai_gpt56sol_g16,T1,C1,openai_gpt56sol,16,245
full_v1_T1_C0_anthropic_opus5_g16,T1,C0,anthropic_opus5,16,246
full_v1_T4_C1_openai_gpt56sol_g16,T4,C1,openai_gpt56sol,16,247
full_v1_T2_C0_anthropic_opus5_g16,T2,C0,anthropic_opus5,16,248
full_v1_T5_C0_anthropic_opus5_g16,T5,C0,anthropic_opus5,16,249
full_v1_T1_C1_anthropic_opus5_g16,T1,C1,anthropic_opus5,16,250
full_v1_T4_C0_anthropic_opus5_g16,T4,C0,anthropic_opus5,16,251
full_v1_T4_C1_anthropic_opus5_g16,T4,C1,anthropic_opus5,16,252
full_v1_T1_C0_openai_gpt56sol_g16,T1,C0,openai_gpt56sol,16,253
full_v1_T2_C1_openai_gpt56sol_g16,T2,C1,openai_gpt56sol,16,254
full_v1_T5_C1_anthropic_opus5_g16,T5,C1,anthropic_opus5,16,255
full_v1_T5_C1_openai_gpt56sol_g16,T5,C1,openai_gpt56sol,16,256
full_v1_T2_C1_anthropic_opus5_g17,T2,C1,anthropic_opus5,17,257
full_v1_T1_C1_anthropic_opus5_g17,T1,C1,anthropic_opus5,17,258
full_v1_T5_C1_openai_gpt56sol_g17,T5,C1,openai_gpt56sol,17,259
full_v1_T5_C1_anthropic_opus5_g17,T5,C1,anthropic_opus5,17,260
full_v1_T4_C0_anthropic_opus5_g17,T4,C0,anthropic_opus5,17,261
full_v1_T2_C1_openai_gpt56sol_g17,T2,C1,openai_gpt56sol,17,262
full_v1_T1_C0_openai_gpt56sol_g17,T1,C0,openai_gpt56sol,17,263
full_v1_T1_C1_openai_gpt56sol_g17,T1,C1,openai_gpt56sol,17,264
full_v1_T1_C0_anthropic_opus5_g17,T1,C0,anthropic_opus5,17,265
full_v1_T5_C0_openai_gpt56sol_g17,T5,C0,openai_gpt56sol,17,266
full_v1_T5_C0_anthropic_opus5_g17,T5,C0,anthropic_opus5,17,267
full_v1_T2_C0_openai_gpt56sol_g17,T2,C0,openai_gpt56sol,17,268
full_v1_T4_C0_openai_gpt56sol_g17,T4,C0,openai_gpt56sol,17,269
full_v1_T4_C1_anthropic_opus5_g17,T4,C1,anthropic_opus5,17,270
full_v1_T2_C0_anthropic_opus5_g17,T2,C0,anthropic_opus5,17,271
full_v1_T4_C1_openai_gpt56sol_g17,T4,C1,openai_gpt56sol,17,272
full_v1_T4_C0_openai_gpt56sol_g18,T4,C0,openai_gpt56sol,18,273
full_v1_T1_C1_openai_gpt56sol_g18,T1,C1,openai_gpt56sol,18,274
full_v1_T4_C1_anthropic_opus5_g18,T4,C1,anthropic_opus5,18,275
full_v1_T2_C0_openai_gpt56sol_g18,T2,C0,openai_gpt56sol,18,276
full_v1_T5_C0_openai_gpt56sol_g18,T5,C0,openai_gpt56sol,18,277
full_v1_T1_C1_anthropic_opus5_g18,T1,C1,anthropic_opus5,18,278
full_v1_T4_C1_openai_gpt56sol_g18,T4,C1,openai_gpt56sol,18,279
full_v1_T2_C1_anthropic_opus5_g18,T2,C1,anthropic_opus5,18,280
full_v1_T1_C0_anthropic_opus5_g18,T1,C0,anthropic_opus5,18,281
full_v1_T4_C0_anthropic_opus5_g18,T4,C0,anthropic_opus5,18,282
full_v1_T1_C0_openai_gpt56sol_g18,T1,C0,openai_gpt56sol,18,283
full_v1_T2_C0_anthropic_opus5_g18,T2,C0,anthropic_opus5,18,284
full_v1_T5_C1_anthropic_opus5_g18,T5,C1,anthropic_opus5,18,285
full_v1_T5_C0_anthropic_opus5_g18,T5,C0,anthropic_opus5,18,286
full_v1_T5_C1_openai_gpt56sol_g18,T5,C1,openai_gpt56sol,18,287
full_v1_T2_C1_openai_gpt56sol_g18,T2,C1,openai_gpt56sol,18,288
full_v1_T2_C1_anthropic_opus5_g19,T2,C1,anthropic_opus5,19,289
full_v1_T4_C1_openai_gpt56sol_g19,T4,C1,openai_gpt56sol,19,290
full_v1_T4_C0_openai_gpt56sol_g19,T4,C0,openai_gpt56sol,19,291
full_v1_T2_C0_openai_gpt56sol_g19,T2,C0,openai_gpt56sol,19,292
full_v1_T5_C1_anthropic_opus5_g19,T5,C1,anthropic_opus5,19,293
full_v1_T4_C1_anthropic_opus5_g19,T4,C1,anthropic_opus5,19,294
full_v1_T4_C0_anthropic_opus5_g19,T4,C0,anthropic_opus5,19,295
full_v1_T5_C0_openai_gpt56sol_g19,T5,C0,openai_gpt56sol,19,296
full_v1_T2_C0_anthropic_opus5_g19,T2,C0,anthropic_opus5,19,297
full_v1_T1_C1_openai_gpt56sol_g19,T1,C1,openai_gpt56sol,19,298
full_v1_T5_C0_anthropic_opus5_g19,T5,C0,anthropic_opus5,19,299
full_v1_T5_C1_openai_gpt56sol_g19,T5,C1,openai_gpt56sol,19,300
full_v1_T1_C1_anthropic_opus5_g19,T1,C1,anthropic_opus5,19,301
full_v1_T2_C1_openai_gpt56sol_g19,T2,C1,openai_gpt56sol,19,302
full_v1_T1_C0_openai_gpt56sol_g19,T1,C0,openai_gpt56sol,19,303
full_v1_T1_C0_anthropic_opus5_g19,T1,C0,anthropic_opus5,19,304
full_v1_T4_C0_openai_gpt56sol_g20,T4,C0,openai_gpt56sol,20,305
full_v1_T2_C1_anthropic_opus5_g20,T2,C1,anthropic_opus5,20,306
full_v1_T4_C1_anthropic_opus5_g20,T4,C1,anthropic_opus5,20,307
full_v1_T5_C1_openai_gpt56sol_g20,T5,C1,openai_gpt56sol,20,308
full_v1_T1_C1_anthropic_opus5_g20,T1,C1,anthropic_opus5,20,309
full_v1_T4_C1_openai_gpt56sol_g20,T4,C1,openai_gpt56sol,20,310
full_v1_T1_C0_anthropic_opus5_g20,T1,C0,anthropic_opus5,20,311
full_v1_T2_C1_openai_gpt56sol_g20,T2,C1,openai_gpt56sol,20,312
full_v1_T5_C0_openai_gpt56sol_g20,T5,C0,openai_gpt56sol,20,313
full_v1_T1_C0_openai_gpt56sol_g20,T1,C0,openai_gpt56sol,20,314
full_v1_T1_C1_openai_gpt56sol_g20,T1,C1,openai_gpt56sol,20,315
full_v1_T4_C0_anthropic_opus5_g20,T4,C0,anthropic_opus5,20,316
full_v1_T5_C0_anthropic_opus5_g20,T5,C0,anthropic_opus5,20,317
full_v1_T5_C1_anthropic_opus5_g20,T5,C1,anthropic_opus5,20,318
full_v1_T2_C0_anthropic_opus5_g20,T2,C0,anthropic_opus5,20,319
full_v1_T2_C0_openai_gpt56sol_g20,T2,C0,openai_gpt56sol,20,320
